x coord, y coord, z coord
38.1123, 8.457, 0.0
38.6911, 8.165, 0.0
39.4758, 7.983, 0.0
40.6247, 7.747, 0.0
41.8889, 7.673, 0.0
43.1517, 7.436, 0.0
44.0385, 7.191, 0.0
45.2011, 7.242, 0.0
46.1490, 7.520, 0.0
47.2035, 8.309, 0.0
48.0493, 8.650, 0.0
49.0441, 9.102, 0.0
50.2568, 9.727, 0.0
51.8431, 10.049, 0.0
52.7887, 10.040, 0.0
53.7899, 9.856, 0.0
54.8355, 9.509, 0.0
55.8207, 8.751, 0.0
56.3963, 8.047, 0.0
57.2951, 7.876, 0.0
58.3888, 7.866, 0.0
59.7104, 7.854, 0.0
61.1249, 8.065, 0.0
62.5969, 8.338, 0.0
63.5570, 8.728, 0.0
64.9169, 9.239, 0.0
66.1829, 9.402, 0.0
67.6088, 9.613, 0.0
68.9209, 9.837, 0.0
70.0844, 10.001, 0.0
71.2938, 10.214, 0.0
72.6624, 10.376, 0.0
74.1794, 10.586, 0.0
75.4440, 10.574, 0.0
76.5492, 10.564, 0.0
77.5973, 10.554, 0.0
78.8032, 10.318, 0.0
79.5862, 9.911, 0.0
80.4256, 9.442, 0.0
80.8991, 8.801, 0.0
81.2013, 8.112, 0.0
80.7328, 7.942, 0.0
81.3562, 7.524, 0.0
80.9899, 7.303, 0.0
81.4656, 6.949, 0.0
80.2096, 8.059, 0.0
79.3671, 8.129, 0.0
78.7864, 8.185, 0.0
78.3612, 7.727, 0.0
78.3116, 7.216, 0.0
78.4105, 6.754, 0.0
78.8740, 6.288, 0.0
79.4509, 5.758, 0.0
80.0284, 5.304, 0.0
80.7643, 4.710, 0.0
81.8549, 4.301, 0.0
83.1751, 4.114, 0.0
84.2215, 3.879, 0.0
85.3717, 3.806, 0.0
86.5338, 3.795, 0.0
87.7981, 3.733, 0.0
89.0057, 3.722, 0.0
90.0543, 3.762, 0.0
91.1024, 3.752, 0.0
92.3101, 3.740, 0.0
93.4152, 3.730, 0.0
94.7824, 3.717, 0.0
96.2521, 3.703, 0.0
97.4598, 3.692, 0.0
98.8839, 3.678, 0.0
100.4561, 3.663, 0.0
101.6638, 3.652, 0.0
103.1449, 3.638, 0.0
