VARIABLES = t,Cd_p,Cd_v
ZONE
 3.000000E-003 3.362635E-003 7.753255E-007
 6.000000E-003 7.272795E-003 3.578079E-006
 9.000000E-003 8.008618E-003 8.942005E-006
 1.200000E-002 8.751243E-003 1.676933E-005
 1.500000E-002 9.526146E-003 2.684636E-005
 1.800000E-002 1.034550E-002 3.896043E-005
 2.100000E-002 1.121727E-002 5.294192E-005
 2.400000E-002 1.214752E-002 6.867385E-005
 2.700000E-002 1.314155E-002 8.608840E-005
 3.000000E-002 1.420437E-002 1.051596E-004
 3.300000E-002 1.534097E-002 1.258960E-004
 3.600000E-002 1.655642E-002 1.483342E-004
 3.900000E-002 1.785598E-002 1.725341E-004
 4.200000E-002 1.924514E-002 1.985750E-004
 4.500000E-002 2.072961E-002 2.265527E-004
 4.800000E-002 2.231539E-002 2.565779E-004
 5.100000E-002 2.400873E-002 2.887743E-004
 5.400000E-002 2.581623E-002 3.232783E-004
 5.700000E-002 2.774477E-002 3.602380E-004
 6.000000E-002 2.980158E-002 3.998130E-004
 6.300000E-002 3.199420E-002 4.421744E-004
 6.600000E-002 3.433057E-002 4.875048E-004
 6.900000E-002 3.681898E-002 5.359986E-004
 7.200000E-002 3.946809E-002 5.878618E-004
 7.500000E-002 4.228696E-002 6.433130E-004
 7.800000E-002 4.528506E-002 7.025832E-004
 8.100000E-002 4.847228E-002 7.659167E-004
 8.400000E-002 5.185893E-002 8.335711E-004
 8.700000E-002 5.545576E-002 9.058183E-004
 9.000000E-002 5.927398E-002 9.829446E-004
 9.300000E-002 6.332525E-002 1.065252E-003
 9.600000E-002 6.762172E-002 1.153057E-003
 9.900000E-002 7.217599E-002 1.246693E-003
 1.020000E-001 7.700118E-002 1.346512E-003
 1.050000E-001 8.211092E-002 1.452880E-003
 1.080000E-001 8.751931E-002 1.566186E-003
 1.110000E-001 9.324100E-002 1.686832E-003
 1.140000E-001 9.929115E-002 1.815245E-003
 1.170000E-001 1.056854E-001 1.951869E-003
 1.200000E-001 1.124401E-001 2.097170E-003
 1.230000E-001 1.195719E-001 2.251635E-003
 1.260000E-001 1.270982E-001 2.415773E-003
 1.290000E-001 1.350368E-001 2.590116E-003
 1.320000E-001 1.434062E-001 2.775221E-003
 1.350000E-001 1.522252E-001 2.971667E-003
 1.380000E-001 1.615134E-001 3.180059E-003
 1.410000E-001 1.712908E-001 3.401028E-003
 1.440000E-001 1.815781E-001 3.635231E-003
 1.470000E-001 1.923963E-001 3.883350E-003
 1.500000E-001 2.037671E-001 4.146098E-003
 1.530000E-001 2.157128E-001 4.424213E-003
 1.560000E-001 2.282559E-001 4.718464E-003
 1.590000E-001 2.414197E-001 5.029648E-003
 1.620000E-001 2.552280E-001 5.358591E-003
 1.650000E-001 2.697048E-001 5.706151E-003
 1.680000E-001 2.848748E-001 6.073216E-003
 1.710000E-001 3.007630E-001 6.460708E-003
 1.740000E-001 3.173949E-001 6.869575E-003
 1.770000E-001 3.347963E-001 7.300803E-003
 1.800000E-001 3.529937E-001 7.755408E-003
 1.830000E-001 3.720134E-001 8.234438E-003
 1.860000E-001 3.918824E-001 8.738977E-003
 1.890000E-001 4.126279E-001 9.270139E-003
 1.920000E-001 4.342772E-001 9.829074E-003
 1.950000E-001 4.568582E-001 1.041696E-002
 1.980000E-001 4.803984E-001 1.103503E-002
 2.010000E-001 5.049259E-001 1.168451E-002
 2.040000E-001 5.304687E-001 1.236670E-002
 2.070000E-001 5.570549E-001 1.308291E-002
 2.100000E-001 5.847126E-001 1.383450E-002
 2.130000E-001 6.134696E-001 1.462284E-002
 2.160000E-001 6.433541E-001 1.544935E-002
 2.190000E-001 6.743942E-001 1.631549E-002
 2.220000E-001 7.066174E-001 1.722273E-002
 2.250000E-001 7.400492E-001 1.817258E-002
 2.280000E-001 7.747182E-001 1.916658E-002
 2.310000E-001 8.106503E-001 2.020629E-002
 2.340000E-001 8.478720E-001 2.129333E-002
 2.370000E-001 8.864086E-001 2.242932E-002
 2.400000E-001 9.258797E-001 2.361589E-002
 2.430000E-001 9.674023E-001 2.485481E-002
 2.460000E-001 1.010046E+000 2.614775E-002
 2.490000E-001 1.054083E+000 2.749640E-002
 2.520000E-001 1.099547E+000 2.890252E-002
 2.550000E-001 1.146463E+000 3.036787E-002
 2.580000E-001 1.194850E+000 3.189425E-002
 2.610000E-001 1.244729E+000 3.348346E-002
 2.640000E-001 1.296116E+000 3.513734E-002
 2.670000E-001 1.349028E+000 3.685771E-002
 2.700000E-001 1.403481E+000 3.864642E-002
 2.730000E-001 1.459488E+000 4.050535E-002
 2.760000E-001 1.517062E+000 4.243636E-002
 2.790000E-001 1.576210E+000 4.444133E-002
 2.820000E-001 1.636942E+000 4.652215E-002
 2.850000E-001 1.699275E+000 4.868071E-002
 2.880000E-001 1.763206E+000 5.091890E-002
 2.910000E-001 1.828741E+000 5.323860E-002
 2.940000E-001 1.895882E+000 5.564171E-002
 2.970000E-001 1.964629E+000 5.813011E-002
 3.000000E-001 2.034981E+000 6.070568E-002
 3.030000E-001 2.106932E+000 6.337027E-002
 3.060000E-001 2.180481E+000 6.612577E-002
 3.090000E-001 2.255610E+000 6.897400E-002
 3.120000E-001 2.332314E+000 7.191679E-002
 3.150000E-001 2.410578E+000 7.495590E-002
 3.180000E-001 2.490174E+000 7.809281E-002
 3.210000E-001 2.571668E+000 8.133246E-002
 3.240000E-001 2.654623E+000 8.467433E-002
 3.270000E-001 2.739038E+000 8.812021E-002
 3.300000E-001 2.824875E+000 9.167194E-002
 3.330000E-001 2.912144E+000 9.533133E-002
 3.360000E-001 3.000754E+000 9.910005E-002
 3.390000E-001 3.090686E+000 1.029799E-001
 3.420000E-001 3.181891E+000 1.069726E-001
 3.450000E-001 3.274320E+000 1.110799E-001
 3.480000E-001 3.367918E+000 1.153032E-001
 3.510000E-001 3.462631E+000 1.196441E-001
 3.540000E-001 3.560960E+000 1.241043E-001
 3.570000E-001 3.654250E+000 1.286846E-001
 3.600000E-001 3.751153E+000 1.333855E-001
 3.630000E-001 3.848506E+000 1.382012E-001
 3.660000E-001 3.941866E+000 1.430854E-001
 3.690000E-001 4.037088E+000 1.480419E-001
 3.720000E-001 4.129651E+000 1.530802E-001
 3.750000E-001 4.227641E+000 1.582082E-001
 3.780000E-001 4.325161E+000 1.634334E-001
 3.810000E-001 4.422989E+000 1.687621E-001
 3.840000E-001 4.521045E+000 1.741993E-001
 3.870000E-001 4.619255E+000 1.797495E-001
 3.900000E-001 4.717405E+000 1.854163E-001
 3.930000E-001 4.816119E+000 1.912022E-001
 3.960000E-001 4.914981E+000 1.971147E-001
 3.990000E-001 5.014002E+000 2.031537E-001
 4.020000E-001 5.113227E+000 2.093202E-001
 4.050000E-001 5.212664E+000 2.156159E-001
 4.080000E-001 5.312363E+000 2.220426E-001
 4.110000E-001 5.413381E+000 2.286019E-001
 4.140000E-001 5.509731E+000 2.352954E-001
 4.170000E-001 5.662735E+000 2.420907E-001
 4.200000E-001 5.762755E+000 2.487969E-001
 4.230000E-001 5.866249E+000 2.556245E-001
 4.260000E-001 5.969345E+000 2.625777E-001
 4.290000E-001 6.072259E+000 2.696606E-001
 4.320000E-001 6.173928E+000 2.768744E-001
 4.350000E-001 6.277095E+000 2.842365E-001
 4.380000E-001 6.378656E+000 2.917410E-001
 4.410000E-001 6.478679E+000 2.993861E-001
 4.440000E-001 6.576957E+000 3.071651E-001
 4.470000E-001 6.671803E+000 3.150619E-001
 4.500000E-001 6.738437E+000 3.229137E-001
 4.530000E-001 6.793797E+000 3.306369E-001
 4.560000E-001 6.860455E+000 3.382870E-001
 4.590000E-001 6.926783E+000 3.459345E-001
 4.620000E-001 6.991743E+000 3.536236E-001
 4.650000E-001 7.059422E+000 3.614138E-001
 4.680000E-001 7.126821E+000 3.693182E-001
 4.710000E-001 7.195433E+000 3.773565E-001
 4.740000E-001 7.263368E+000 3.855447E-001
 4.770000E-001 7.411858E+000 3.936667E-001
 4.800000E-001 7.482006E+000 4.015535E-001
 4.830000E-001 7.560563E+000 4.095935E-001
 4.860000E-001 7.636893E+000 4.177945E-001
 4.890000E-001 7.714297E+000 4.261871E-001
 4.920000E-001 7.788080E+000 4.347469E-001
 4.950000E-001 7.860300E+000 4.434360E-001
 4.980000E-001 7.874564E+000 4.519764E-001
 5.010000E-001 7.865675E+000 4.602175E-001
 5.040000E-001 7.879980E+000 4.682549E-001
 5.070000E-001 7.896235E+000 4.762336E-001
 5.100000E-001 7.917297E+000 4.842708E-001
 5.130000E-001 7.943793E+000 4.924299E-001
 5.160000E-001 8.070799E+000 5.007895E-001
 5.190000E-001 8.101664E+000 5.083607E-001
 5.220000E-001 8.146368E+000 5.161390E-001
 5.250000E-001 8.194198E+000 5.241603E-001
 5.280000E-001 8.243157E+000 5.324397E-001
 5.310000E-001 8.295005E+000 5.408905E-001
 5.340000E-001 8.263000E+000 5.491404E-001
 5.370000E-001 8.193805E+000 5.569998E-001
 5.400000E-001 8.158877E+000 5.645574E-001
 5.430000E-001 8.134206E+000 5.720368E-001
 5.460000E-001 8.120554E+000 5.795893E-001
 5.490000E-001 8.228984E+000 5.870225E-001
 5.520000E-001 8.228367E+000 5.937710E-001
 5.550000E-001 8.247507E+000 6.008235E-001
 5.580000E-001 8.272323E+000 6.082383E-001
 5.610000E-001 8.307745E+000 6.158991E-001
 5.640000E-001 8.237844E+000 6.233370E-001
 5.670000E-001 8.118226E+000 6.303619E-001
 5.700000E-001 8.045362E+000 6.369999E-001
 5.730000E-001 7.990399E+000 6.435955E-001
 5.760000E-001 7.951855E+000 6.503490E-001
 5.790000E-001 8.046011E+000 6.557366E-001
 5.820000E-001 8.040400E+000 6.616192E-001
 5.850000E-001 8.046256E+000 6.679580E-001
 5.880000E-001 8.062011E+000 6.745600E-001
 5.910000E-001 7.925998E+000 6.808488E-001
 5.940000E-001 7.788650E+000 6.867351E-001
 5.970000E-001 7.690734E+000 6.923109E-001
 6.000000E-001 7.628372E+000 6.979229E-001
 6.030000E-001 7.695023E+000 7.022824E-001
 6.060000E-001 7.669215E+000 7.068291E-001
 6.090000E-001 7.660104E+000 7.119257E-001
 6.120000E-001 7.666900E+000 7.173324E-001
 6.150000E-001 7.500078E+000 7.224508E-001
 6.180000E-001 7.336648E+000 7.272332E-001
 6.210000E-001 7.222554E+000 7.317086E-001
 6.240000E-001 7.143334E+000 7.362736E-001
 6.270000E-001 7.219178E+000 7.386004E-001
 6.300000E-001 7.190413E+000 7.421423E-001
 6.330000E-001 7.179530E+000 7.462665E-001
 6.360000E-001 7.113667E+000 7.502646E-001
 6.390000E-001 6.879745E+000 7.542307E-001
 6.420000E-001 6.738127E+000 7.576885E-001
 6.450000E-001 6.647473E+000 7.611186E-001
 6.480000E-001 6.708877E+000 7.621848E-001
 6.510000E-001 6.673095E+000 7.644635E-001
 6.540000E-001 6.658908E+000 7.674066E-001
 6.570000E-001 6.581428E+000 7.702263E-001
 6.600000E-001 6.333724E+000 7.731832E-001
 6.630000E-001 6.188516E+000 7.756394E-001
 6.660000E-001 6.092971E+000 7.781105E-001
 6.690000E-001 6.166702E+000 7.774031E-001
 6.720000E-001 6.136413E+000 7.787958E-001
 6.750000E-001 6.123710E+000 7.807181E-001
 6.780000E-001 5.945851E+000 7.825291E-001
 6.810000E-001 5.735373E+000 7.843522E-001
 6.840000E-001 5.610254E+000 7.858790E-001
 6.870000E-001 5.679881E+000 7.848238E-001
 6.900000E-001 5.625825E+000 7.848389E-001
 6.930000E-001 5.605229E+000 7.856483E-001
 6.960000E-001 5.545251E+000 7.863985E-001
 6.990000E-001 5.281735E+000 7.877065E-001
 7.020000E-001 5.133726E+000 7.884942E-001
 7.050000E-001 5.201899E+000 7.868902E-001
 7.080000E-001 5.131788E+000 7.857602E-001
 7.110000E-001 5.108716E+000 7.855437E-001
 7.140000E-001 5.103720E+000 7.854641E-001
 7.170000E-001 4.832679E+000 7.861001E-001
 7.200000E-001 4.673461E+000 7.862810E-001
 7.230000E-001 4.583553E+000 7.863998E-001
 7.260000E-001 4.666323E+000 7.819060E-001
 7.290000E-001 4.646201E+000 7.808826E-001
 7.320000E-001 4.650511E+000 7.801387E-001
 7.350000E-001 4.397095E+000 7.800778E-001
 7.380000E-001 4.238361E+000 7.797700E-001
 7.410000E-001 4.150436E+000 7.793812E-001
 7.440000E-001 4.237896E+000 7.738844E-001
 7.470000E-001 4.225086E+000 7.722934E-001
 7.500000E-001 4.235025E+000 7.709401E-001
 7.530000E-001 3.980210E+000 7.705158E-001
 7.560000E-001 3.831803E+000 7.697557E-001
 7.590000E-001 3.910158E+000 7.654199E-001
 7.620000E-001 3.853941E+000 7.623828E-001
 7.650000E-001 3.851556E+000 7.604238E-001
 7.680000E-001 3.844047E+000 7.586105E-001
 7.710000E-001 3.592735E+000 7.579877E-001
 7.740000E-001 3.465742E+000 7.568969E-001
 7.770000E-001 3.553958E+000 7.513506E-001
 7.800000E-001 3.517472E+000 7.481593E-001
 7.830000E-001 3.525537E+000 7.460210E-001
 7.860000E-001 3.468765E+000 7.440411E-001
 7.890000E-001 3.245664E+000 7.431567E-001
 7.920000E-001 3.147039E+000 7.418049E-001
 7.950000E-001 3.245247E+000 7.350535E-001
 7.980000E-001 3.228691E+000 7.319066E-001
 8.010000E-001 3.251530E+000 7.296485E-001
 8.040000E-001 3.122010E+000 7.277924E-001
 8.070000E-001 2.949814E+000 7.266460E-001
 8.100000E-001 2.884631E+000 7.251754E-001
 8.130000E-001 2.976498E+000 7.172620E-001
 8.160000E-001 2.986963E+000 7.143381E-001
 8.190000E-001 3.025464E+000 7.119166E-001
 8.220000E-001 2.815126E+000 7.106177E-001
 8.250000E-001 2.695274E+000 7.092186E-001
 8.280000E-001 2.795434E+000 7.025396E-001
 8.310000E-001 2.768995E+000 6.987004E-001
 8.340000E-001 2.791600E+000 6.960547E-001
 8.370000E-001 2.773704E+000 6.936545E-001
 8.400000E-001 2.572856E+000 6.926008E-001
 8.430000E-001 2.492179E+000 6.910843E-001
 8.460000E-001 2.602889E+000 6.831071E-001
 8.490000E-001 2.602513E+000 6.797364E-001
 8.520000E-001 2.639620E+000 6.773189E-001
 8.550000E-001 2.524840E+000 6.754271E-001
 8.580000E-001 2.382995E+000 6.742340E-001
 8.610000E-001 2.339188E+000 6.727561E-001
 8.640000E-001 2.446591E+000 6.636642E-001
 8.670000E-001 2.472073E+000 6.608188E-001
 8.700000E-001 2.519475E+000 6.583345E-001
 8.730000E-001 2.317511E+000 6.574233E-001
 8.760000E-001 2.230134E+000 6.560913E-001
 8.790000E-001 2.341953E+000 6.482289E-001
 8.820000E-001 2.339235E+000 6.446945E-001
 8.850000E-001 2.376314E+000 6.423114E-001
 8.880000E-001 2.327800E+000 6.402712E-001
 8.910000E-001 2.171376E+000 6.393675E-001
 8.940000E-001 2.122811E+000 6.380867E-001
 8.970000E-001 2.240211E+000 6.291147E-001
 9.000000E-001 2.259326E+000 6.262765E-001
 9.030000E-001 2.318133E+000 6.240798E-001
 9.060000E-001 2.156524E+000 6.229451E-001
 9.090000E-001 2.063357E+000 6.219537E-001
 9.120000E-001 2.175220E+000 6.144007E-001
 9.150000E-001 2.165834E+000 6.109303E-001
 9.180000E-001 2.204257E+000 6.086549E-001
 9.210000E-001 2.204492E+000 6.066893E-001
 9.240000E-001 2.040296E+000 6.061348E-001
 9.270000E-001 1.987502E+000 6.051296E-001
 9.300000E-001 2.105641E+000 5.963549E-001
 9.330000E-001 2.121509E+000 5.935982E-001
 9.360000E-001 2.187326E+000 5.916978E-001
 9.390000E-001 2.057112E+000 5.905517E-001
 9.420000E-001 1.958743E+000 5.899292E-001
 9.450000E-001 1.938369E+000 5.890817E-001
 9.480000E-001 2.055245E+000 5.793794E-001
 9.510000E-001 2.093449E+000 5.772746E-001
 9.540000E-001 2.128347E+000 5.754987E-001
 9.570000E-001 1.960917E+000 5.752688E-001
 9.600000E-001 1.903334E+000 5.745942E-001
 9.630000E-001 2.019176E+000 5.661418E-001
 9.660000E-001 2.033906E+000 5.634841E-001
 9.690000E-001 2.083632E+000 5.618514E-001
 9.720000E-001 2.013984E+000 5.607749E-001
 9.750000E-001 1.898313E+000 5.605063E-001
 9.780000E-001 1.876499E+000 5.599453E-001
 9.810000E-001 1.984144E+000 5.505065E-001
 9.840000E-001 2.021918E+000 5.485668E-001
 9.870000E-001 2.081687E+000 5.470561E-001
 9.900000E-001 1.915110E+000 5.470585E-001
 9.930000E-001 1.851882E+000 5.467011E-001
 9.960000E-001 1.967188E+000 5.385861E-001
 9.990000E-001 1.975912E+000 5.360581E-001
 1.002000E+000 2.022906E+000 5.346591E-001
 1.005000E+000 1.985528E+000 5.337118E-001
 1.008000E+000 1.858342E+000 5.337586E-001
 1.011000E+000 1.829801E+000 5.334439E-001
 1.014000E+000 1.945754E+000 5.243280E-001
 1.017000E+000 1.975201E+000 5.225294E-001
 1.020000E+000 2.038223E+000 5.213897E-001
 1.023000E+000 1.892776E+000 5.213659E-001
 1.026000E+000 1.821275E+000 5.212932E-001
 1.029000E+000 1.933777E+000 5.135818E-001
 1.032000E+000 1.936912E+000 5.111805E-001
 1.035000E+000 1.981142E+000 5.099877E-001
 1.038000E+000 1.973855E+000 5.091839E-001
 1.041000E+000 1.837057E+000 5.095063E-001
 1.044000E+000 1.801791E+000 5.094151E-001
 1.047000E+000 1.916616E+000 5.006363E-001
 1.050000E+000 1.940776E+000 4.989570E-001
 1.053000E+000 2.006166E+000 4.981131E-001
 1.056000E+000 1.880591E+000 4.980759E-001
 1.059000E+000 1.801702E+000 4.982617E-001
 1.062000E+000 1.790683E+000 4.982654E-001
 1.065000E+000 1.907691E+000 4.886641E-001
 1.068000E+000 1.949653E+000 4.876204E-001
 1.071000E+000 1.968119E+000 4.869574E-001
 1.074000E+000 1.824259E+000 4.874972E-001
 1.077000E+000 1.781389E+000 4.875990E-001
 1.080000E+000 1.894787E+000 4.791779E-001
 1.083000E+000 1.913613E+000 4.775650E-001
 1.086000E+000 1.967209E+000 4.769451E-001
 1.089000E+000 1.883995E+000 4.769114E-001
 1.092000E+000 1.789587E+000 4.773140E-001
 1.095000E+000 1.776465E+000 4.774722E-001
 1.098000E+000 1.884153E+000 4.682136E-001
 1.101000E+000 1.923348E+000 4.672784E-001
 1.104000E+000 1.965893E+000 4.667601E-001
 1.107000E+000 1.815517E+000 4.674734E-001
 1.110000E+000 1.765654E+000 4.677414E-001
 1.113000E+000 1.876052E+000 4.596901E-001
 1.116000E+000 1.891564E+000 4.581329E-001
 1.119000E+000 1.940937E+000 4.576711E-001
 1.122000E+000 1.884377E+000 4.576494E-001
 1.125000E+000 1.779505E+000 4.582314E-001
 1.128000E+000 1.764486E+000 4.585164E-001
 1.131000E+000 1.863122E+000 4.496009E-001
 1.134000E+000 1.900165E+000 4.487288E-001
 1.137000E+000 1.959562E+000 4.483914E-001
 1.140000E+000 1.809975E+000 4.491526E-001
 1.143000E+000 1.752744E+000 4.495664E-001
 1.146000E+000 1.860920E+000 4.419017E-001
 1.149000E+000 1.870509E+000 4.403719E-001
 1.152000E+000 1.916522E+000 4.400212E-001
 1.155000E+000 1.886182E+000 4.400279E-001
 1.158000E+000 1.768292E+000 4.407521E-001
 1.161000E+000 1.744532E+000 4.411465E-001
 1.164000E+000 1.851845E+000 4.325984E-001
 1.167000E+000 1.880143E+000 4.317538E-001
 1.170000E+000 1.941586E+000 4.316332E-001
 1.173000E+000 1.808358E+000 4.322762E-001
 1.176000E+000 1.742816E+000 4.328314E-001
 1.179000E+000 1.848019E+000 4.255892E-001
 1.182000E+000 1.851026E+000 4.240721E-001
 1.185000E+000 1.894259E+000 4.237958E-001
 1.188000E+000 1.889957E+000 4.238490E-001
