Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0	0.09992823	0	0	17.879583	1.143341e-09
5e-05	0.08660423	2.2354689e-08	0.00089429181	17.89209	0.001194
0.0001	0.08660423	8.9439603e-08	0.001789209	17.904597	0.001194
0.00015	-0.05995677	2.0128601e-07	0.0026847515	17.917104	0.001194
0.0002	0.05995723	3.5792518e-07	0.0035809194	17.929612	0.001194
0.00025	0.11325223	5.5938837e-07	0.0044777127	17.942119	0.001194
0.0003	0.07328123	8.0570687e-07	0.0053751313	17.954626	0.001194
0.00035	-0.00666176999999999	1.0969119e-06	0.0062731753	17.967133	0.001194
0.0004	0.03330923	1.4330348e-06	0.0071718446	17.979641	0.001194
0.00045	0.16654723	1.8141068e-06	0.0080711393	17.992148	0.001194
0.0005	0.08660423	2.2401592e-06	0.0089710594	18.004655	0.001194
0.00055	0.04663323	2.7112232e-06	0.0098716049	18.017162	0.001194
0.0006	-0.03330977	3.2273301e-06	0.010772776	18.02967	0.001194
0.00065	0.03330923	3.7885112e-06	0.011674572	18.042177	0.001194
0.0007	0.09992823	4.3947977e-06	0.012576993	18.054684	0.001194
0.00075	0.05995723	5.0462209e-06	0.01348004	18.067191	0.001194
0.0008	-0.05995677	5.7428121e-06	0.014383712	18.079699	0.001194
0.00085	0.13989923	6.4846026e-06	0.01528801	18.092206	0.001194
0.0009	0.11325223	7.2716236e-06	0.016192933	18.104713	0.001194
0.00095	0.08660423	8.1039063e-06	0.017098481	18.117221	0.001194
0.001	0.00666223000000001	8.9814821e-06	0.018004655	18.129728	0.001194
0.00105	0.01998523	9.9043823e-06	0.018911454	18.142235	0.001194
0.0011	0.12657623	1.0872638e-05	0.019818879	18.154742	0.001194
0.00115	0.03330923	1.1886281e-05	0.020726928	18.16725	0.001194
0.0012	0.05995723	1.2945341e-05	0.021635604	18.179757	0.001194
0.00125	-0.09992877	1.4049851e-05	0.022544904	18.192264	0.001194
0.0013	0.01998523	1.5199842e-05	0.02345483	18.204771	0.001194
0.00135	0.07328123	1.6395345e-05	0.024365381	18.217279	0.001194
0.0014	-0.00666176999999999	1.7636391e-05	0.025276558	18.229786	0.001194
0.00145	-0.01998577	1.8923011e-05	0.02618836	18.242293	0.001194
0.0015	-0.01998577	2.0255237e-05	0.027100787	18.2548	0.001194
0.00155	0.07328123	2.16331e-05	0.02801384	18.267308	0.001194
0.0016	0.04663323	2.3056631e-05	0.028927518	18.279815	0.001194
0.00165	-0.01998577	2.4525862e-05	0.029841821	18.292322	0.001194
0.0017	-0.03330977	2.6040824e-05	0.03075675	18.304829	0.001194
0.00175	-0.01998577	2.7601548e-05	0.031672304	18.317337	0.001194
0.0018	-0.00666176999999999	2.9208065e-05	0.032588484	18.329844	0.001194
0.00185	0.07328123	3.0860407e-05	0.033505289	18.342351	0.001194
0.0019	-0.09992877	3.2558604e-05	0.034422719	18.354859	0.001194
0.00195	0.01998523	3.4302689e-05	0.035340775	18.367366	0.001194
0.002	0.01998523	3.6092692e-05	0.036259456	18.379873	0.001194
0.00205	0.00666223000000001	3.7928645e-05	0.037178762	18.39238	0.001194
0.0021	0.00666223000000001	3.9810579e-05	0.038098694	18.404888	0.001194
0.00215	-0.00666176999999999	4.1738525e-05	0.039019251	18.417395	0.001194
0.0022	0.08660423	4.3712514e-05	0.039940433	18.429902	0.001194
0.00225	0.00666223000000001	4.5732578e-05	0.040862241	18.442409	0.001194
0.0023	0.01998523	4.7798749e-05	0.041784674	18.454917	0.001194
0.00235	-0.07328077	4.9911056e-05	0.042707733	18.467424	0.001194
0.0024	0.01998523	5.2069532e-05	0.043631416	18.479931	0.001194
0.00245	0.07328123	5.4274208e-05	0.044555726	18.492438	0.001194
0.0025	0.00666223000000001	5.6525115e-05	0.04548066	18.504946	0.001194
0.00255	-0.08660477	5.8822285e-05	0.04640622	18.517453	0.001194
0.0026	-0.04663277	6.1165748e-05	0.047332406	18.52996	0.001194
0.00265	0.08660423	6.3555536e-05	0.048259216	18.542468	0.001194
0.0027	0.01998523	6.599168e-05	0.049186652	18.554975	0.001194
0.00275	-0.01998577	6.8474211e-05	0.050114714	18.567482	0.001194
0.0028	-0.05995677	7.1003162e-05	0.051043401	18.579989	0.001194
0.00285	-0.01998577	7.3578562e-05	0.051972713	18.592497	0.001194
0.0029	0.03330923	7.6200443e-05	0.05290265	18.605004	0.001194
0.00295	0.00666223000000001	7.8868837e-05	0.053833213	18.617511	0.001194
0.003	-0.09992877	8.1583775e-05	0.054764401	18.630018	0.001194
