x coord, y coord, z coord
37.9842, 9.356, 0.0
38.2936, 8.668, 0.0
38.7169, 8.092, 0.0
39.3568, 7.693, 0.0
40.1444, 7.694, 0.0
40.6129, 7.407, 0.0
41.4579, 7.171, 0.0
42.2458, 6.997, 0.0
43.0335, 6.999, 0.0
43.4547, 7.638, 0.0
42.8261, 8.101, 0.0
42.2433, 8.500, 0.0
42.0817, 9.539, 0.0
42.7203, 9.941, 0.0
43.3481, 9.943, 0.0
44.2498, 9.945, 0.0
44.9804, 9.946, 0.0
46.1904, 9.898, 0.0
47.0928, 9.550, 0.0
47.9841, 8.975, 0.0
48.8296, 8.463, 0.0
49.6185, 7.714, 0.0
50.5100, 7.014, 0.0
51.1502, 6.439, 0.0
51.9387, 5.927, 0.0
52.6813, 5.516, 0.0
53.7782, 4.892, 0.0
55.0462, 4.305, 0.0
56.7356, 4.259, 0.0
58.1508, 4.374, 0.0
59.4746, 4.552, 0.0
60.8444, 4.555, 0.0
61.8946, 4.495, 0.0
63.1047, 4.447, 0.0
64.1091, 4.499, 0.0
65.2049, 4.501, 0.0
66.1523, 4.503, 0.0
67.2138, 4.506, 0.0
68.3210, 4.508, 0.0
69.3712, 4.510, 0.0
70.4784, 4.512, 0.0
71.6883, 4.515, 0.0
72.7956, 4.517, 0.0
73.9483, 4.582, 0.0
75.3181, 4.585, 0.0
76.6307, 4.587, 0.0
78.4228, 4.591, 0.0
79.9981, 4.594, 0.0
81.9044, 4.535, 0.0
83.4796, 4.539, 0.0
85.0092, 4.542, 0.0
86.4817, 4.495, 0.0
87.8971, 4.497, 0.0
90.1116, 4.502, 0.0
89.1186, 4.437, 0.0
91.3786, 4.505, 0.0
92.4859, 4.444, 0.0
94.4835, 4.448, 0.0
96.3326, 4.452, 0.0
93.3762, 4.446, 0.0
97.5997, 4.392, 0.0
98.9579, 4.520, 0.0
100.6472, 4.523, 0.0
102.0170, 4.526, 0.0
103.1698, 4.528, 0.0
101.3893, 4.462, 0.0
99.7569, 4.522, 0.0
95.4308, 4.513, 0.0
98.3301, 4.519, 0.0
