Time [s]	Weight_X_Position_smooth_splines [deg]	dx\dt Weight_X_Position_smooth_splines [deg\s]	dx\dt^2 Weight_X_Position_smooth_splines [deg\s^2]	Weight_X_Position_original [deg]	Roll_angle_response_empty [deg]	Roll_angle_response_water [deg]	Roll_angle_response_oil [deg]	Roll_angle_response_glycerin [deg]
0	2.220446e-16	1.0658141e-14	-881.93835	0	0	0	0	0
0.001	-0.00044137022	-0.88314147	-884.3446	-0.008132	0	0	0	0
0.002	-0.001767085	-1.7686892	-886.75086	-0.008132	0	0	0	0
0.003	-0.0039795507	-2.6566432	-889.15711	-0.016264	0	0	0	0
0.004	-0.0070811735	-3.5470034	-891.56337	-0.016264	0	0	0	0
0.005	-0.01107436	-4.4397699	-893.96962	-0.016264	0	0	0	0
0.006	-0.015961515	-5.3349427	-896.37588	-0.024395	0	0	0	0
0.007	-0.021745047	-6.2325217	-898.78213	-0.024395	0	0	0	0
0.008	-0.028427361	-7.1325069	-901.18838	-0.024395	0	0	0	0
0.009	-0.036010863	-8.0348984	-903.59464	-0.032527	0	0	0	0
0.01	-0.04449796	-8.9396962	-906.00089	-0.032527	0	0	0	0
0.011	-0.053891057	-9.8469002	-908.40715	-0.040659	0	0	0	0
0.012	-0.064192562	-10.756511	-910.8134	-0.048791	0	0	0	0
0.013	-0.075404881	-11.668527	-913.21966	-0.056922	0	0	0	0
0.014	-0.087530418	-12.58295	-915.62591	-0.065054	0	0	0	0
0.015	-0.10057158	-13.499779	-918.03217	-0.073186	0	0	0	0
0.016	-0.11453078	-14.419014	-920.43842	-0.089449	0	0	0	0
0.017	-0.12941041	-15.340656	-922.84468	-0.097581	0	0	0	0
0.018	-0.14521289	-16.264704	-925.25093	-0.113845	0	0	0	0
0.019	-0.16194062	-17.191158	-927.65719	-0.130108	0	0	0	0
0.02	-0.17959601	-18.120018	-930.06344	-0.154504	0	0	0	0
0.021	-0.19818146	-19.051284	-932.4697	-0.170767	0	0	0	0
0.022	-0.21769938	-19.984957	-934.87595	-0.195162	0	0	0	0
0.023	-0.23815218	-20.921036	-937.2822	-0.227689	0	0	0	0
0.024	-0.25954225	-21.859522	-939.68846	-0.252085	0	0	0	0
0.025	-0.28187202	-22.800413	-942.09471	-0.284612	0	0	0	0
0.026	-0.30514388	-23.743711	-944.50097	-0.325271	0	0	0	0
0.027	-0.32936025	-24.689415	-946.90722	-0.357798	0	0	0	0
0.028	-0.35452352	-25.637526	-949.31348	-0.390325	0	0	0	0
0.029	-0.3806361	-26.588042	-951.71973	-0.430984	0	0	0	0
0.03	-0.4077004	-27.540965	-954.12599	-0.471642	0	0	0	0
0.031	-0.43571883	-28.496294	-956.53224	-0.520433	0	0	0	0
0.032	-0.46469379	-29.45403	-958.9385	-0.561092	0	0	0	0
0.033	-0.49462769	-30.414171	-961.34475	-0.601751	0	0	0	0
0.034	-0.52552294	-31.376719	-963.75101	-0.650541	0	0	0	0
0.035	-0.55738193	-32.341673	-966.15726	-0.699332	0	0	0	0
0.036	-0.59020709	-33.309034	-968.56352	-0.748122	0	0	0	0
0.037	-0.6240008	-34.2788	-970.96977	-0.796913	0	0	0	0
0.038	-0.65876549	-35.250973	-973.37603	-0.853835	0	0	0	0
0.039	-0.69450355	-36.225552	-975.78228	-0.902626	0	0	0	0
0.04	-0.73121739	-37.202538	-978.18853	-0.959548	0	0	0	0
0.041	-0.76890943	-38.181929	-980.59479	-1.008339	0	0	0	0
0.042	-0.80758205	-39.163727	-983.00104	-1.065261	0	0	0	0
0.043	-0.84723768	-40.147931	-985.4073	-1.114052	0	0	0	0
0.044	-0.88787872	-41.134542	-987.81355	-1.170974	0	0	0	0
0.045	-0.92950757	-42.123558	-990.21981	-1.227897	0	0	0	0
0.046	-0.97212664	-43.114981	-992.62606	-1.276687	0	0	0	0
0.047	-1.0157383	-44.108811	-995.03232	-1.33361	0	0	0	0
0.048	-1.0603451	-45.105046	-997.43857	-1.3824	0	0	0	0
0.049	-1.1059492	-46.103688	-999.84483	-1.439323	0	0	0	0
0.05	-1.1525532	-47.104736	-1002.2511	-1.496245	0	0	0	0
0.051	-1.2001595	-48.10819	-1004.6573	-1.553167	0	0	0	0
0.052	-1.2487704	-49.11405	-1007.0636	-1.601958	0	0	0	0
0.053	-1.2983884	-50.122317	-1009.4698	-1.65888	0	0	0	0
0.054	-1.3490159	-51.13299	-1011.8761	-1.707671	0	0	0	0
0.055	-1.4006552	-52.146069	-1014.2824	-1.764593	0	0	0	0
0.056	-1.4533088	-53.161555	-1016.6886	-1.813384	0	0	0	0
0.057	-1.5069791	-54.179447	-1019.0949	-1.870306	0	0	0	0
0.058	-1.5616685	-55.199745	-1021.5011	-1.919097	0	0	0	0
0.059	-1.6173794	-56.222449	-1023.9074	-1.976019	0	0	0	0
0.06	-1.6741142	-57.247559	-1026.3136	-2.02481	0	0	0	0
0.061	-1.7318753	-58.275076	-1028.7199	-2.081732	0	0	0	0
0.062	-1.7906651	-59.304999	-1031.1261	-2.138654	0	0	0	0
0.063	-1.8504861	-60.337328	-1033.5324	-2.195577	0	0	0	0
0.064	-1.9113406	-61.372064	-1035.9386	-2.252499	0	0	0	0
0.065	-1.973231	-62.409206	-1038.3449	-2.309421	0	0	0	0
0.066	-2.0361598	-63.448754	-1040.7512	-2.374476	0	0	0	0
0.067	-2.1001293	-64.490708	-1043.1574	-2.431398	0	0	0	0
0.068	-2.165142	-65.535068	-1045.5637	-2.496452	0	0	0	0
0.069	-2.2312003	-66.581835	-1047.9699	-2.561506	0	0	0	0
0.07	-2.2983065	-67.631008	-1050.3762	-2.62656	0	0	0	0
0.071	-2.3664631	-68.682588	-1052.7824	-2.691614	0	0	0	0
0.072	-2.4356725	-69.736573	-1055.1887	-2.7648	0	0	0	0
0.073	-2.5059371	-70.792965	-1057.5949	-2.837986	0	0	0	0
0.074	-2.5772592	-71.851763	-1060.0012	-2.90304	0	0	0	0
0.075	-2.6496414	-72.912967	-1062.4074	-2.976226	0	0	0	0
0.076	-2.723086	-73.976578	-1064.8137	-3.057544	0	0	0	0
0.077	-2.7975953	-75.042595	-1067.22	-3.13073	0	0	0	0
